2024-06-24 14:09:14.639 Event: Pod Created, Pod: hello-1-instances-00001-deployment-675786fc6c-4pxck, Namespace: default, Node: None, Timestamp: 1719238154.6392562
2024-06-24 14:09:14.649 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-675786fc6c-4pxck, Namespace: default, Node: minikube-m03, Timestamp: 1719238154.6498916
2024-06-24 14:09:14.673 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-675786fc6c-4pxck, Namespace: default, Node: minikube-m03, Timestamp: 1719238154.673447
2024-06-24 14:09:16.361 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-675786fc6c-4pxck, Namespace: default, Node: minikube-m03, Timestamp: 1719238156.3617177
2024-06-24 14:09:16.376 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-675786fc6c-4pxck, Namespace: default, Node: minikube-m03, Timestamp: 1719238156.3763855
2024-06-24 14:09:24.452 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-675786fc6c-4pxck, Namespace: default, Node: minikube-m03, Timestamp: 1719238164.4529
2024-06-24 14:09:44.972 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-675786fc6c-4pxck, Namespace: default, Node: minikube-m03, Timestamp: 1719238184.9725876
2024-06-24 14:09:54.700 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-675786fc6c-4pxck, Namespace: default, Node: minikube-m03, Timestamp: 1719238194.7002223
2024-06-24 14:09:55.536 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-675786fc6c-4pxck, Namespace: default, Node: minikube-m03, Timestamp: 1719238195.536807
2024-06-24 14:09:55.549 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-675786fc6c-4pxck, Namespace: default, Node: minikube-m03, Timestamp: 1719238195.5494728
2024-06-24 14:10:06.954 Event: Pod Created, Pod: hello-1-instances-00001-deployment-85b4f4656-dhw52, Namespace: default, Node: None, Timestamp: 1719238206.954384
2024-06-24 14:10:06.968 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-85b4f4656-dhw52, Namespace: default, Node: minikube-m03, Timestamp: 1719238206.9688487
2024-06-24 14:10:06.992 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-85b4f4656-dhw52, Namespace: default, Node: minikube-m03, Timestamp: 1719238206.9924994
2024-06-24 14:10:08.607 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-85b4f4656-dhw52, Namespace: default, Node: minikube-m03, Timestamp: 1719238208.6070871
2024-06-24 14:10:08.623 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-85b4f4656-dhw52, Namespace: default, Node: minikube-m03, Timestamp: 1719238208.623568
2024-06-24 14:10:15.262 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-85b4f4656-dhw52, Namespace: default, Node: minikube-m03, Timestamp: 1719238215.2620547
2024-06-24 14:10:37.296 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-85b4f4656-dhw52, Namespace: default, Node: minikube-m03, Timestamp: 1719238237.2964869
2024-06-24 14:10:45.483 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-85b4f4656-dhw52, Namespace: default, Node: minikube-m03, Timestamp: 1719238245.483882
2024-06-24 14:10:45.769 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-85b4f4656-dhw52, Namespace: default, Node: minikube-m03, Timestamp: 1719238245.7696168
2024-06-24 14:10:45.779 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-85b4f4656-dhw52, Namespace: default, Node: minikube-m03, Timestamp: 1719238245.7790408
2024-06-24 14:10:56.228 Event: Pod Created, Pod: hello-5-instances-00001-deployment-7c64c5987f-56g4b, Namespace: default, Node: None, Timestamp: 1719238256.2286556
2024-06-24 14:10:56.248 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-7c64c5987f-56g4b, Namespace: default, Node: minikube-m03, Timestamp: 1719238256.2485986
2024-06-24 14:10:56.267 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-7c64c5987f-56g4b, Namespace: default, Node: minikube-m03, Timestamp: 1719238256.2677736
2024-06-24 14:10:56.339 Event: Pod Created, Pod: hello-5-instances-00001-deployment-7c64c5987f-rlbnp, Namespace: default, Node: None, Timestamp: 1719238256.3395517
2024-06-24 14:10:56.356 Event: Pod Created, Pod: hello-5-instances-00001-deployment-7c64c5987f-8pcx2, Namespace: default, Node: None, Timestamp: 1719238256.3566425
2024-06-24 14:10:56.358 Event: Pod Created, Pod: hello-5-instances-00001-deployment-7c64c5987f-nb4s5, Namespace: default, Node: None, Timestamp: 1719238256.3587704
2024-06-24 14:10:56.361 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-7c64c5987f-rlbnp, Namespace: default, Node: minikube-m03, Timestamp: 1719238256.3611856
2024-06-24 14:10:56.376 Event: Pod Created, Pod: hello-5-instances-00001-deployment-7c64c5987f-4zv4m, Namespace: default, Node: None, Timestamp: 1719238256.3760095
2024-06-24 14:10:56.379 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-7c64c5987f-rlbnp, Namespace: default, Node: minikube-m03, Timestamp: 1719238256.3792646
