2024-06-15 10:42:07.286 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-nhpxt, Namespace: default, Node: minikube-m02, Timestamp: 1718448127.2863622
2024-06-15 10:42:15.231 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-vtxqj, Namespace: default, Node: minikube-m03, Timestamp: 1718448135.2312596
2024-06-15 10:42:15.260 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-pp79l, Namespace: default, Node: minikube-m02, Timestamp: 1718448135.2608485
2024-06-15 10:42:15.292 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-vtxqj, Namespace: default, Node: minikube-m03, Timestamp: 1718448135.2921872
2024-06-15 10:42:15.301 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-wfnhh, Namespace: default, Node: minikube-m02, Timestamp: 1718448135.3019419
2024-06-15 10:42:15.312 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-vtxqj, Namespace: default, Node: minikube-m03, Timestamp: 1718448135.3128135
2024-06-15 10:42:15.325 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-rgbmg, Namespace: default, Node: minikube-m02, Timestamp: 1718448135.3255138
2024-06-15 10:42:15.340 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-vzpkl, Namespace: default, Node: minikube-m04, Timestamp: 1718448135.3409064
2024-06-15 10:42:15.343 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-zvwts, Namespace: default, Node: minikube-m02, Timestamp: 1718448135.3439758
2024-06-15 10:42:15.356 Event: Pod Scheduled, Pod: hello-10-instances-00001-deployment-555fd84796-nhpxt, Namespace: default, Node: minikube-m02, Timestamp: 1718448135.356478
