2024-06-15 16:51:37.013 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6cb6bfdbf7-l2w6c, Namespace: default, Node: minikube-m03, Timestamp: 1718470297.0137486
2024-06-15 16:51:37.028 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6cb6bfdbf7-l2w6c, Namespace: default, Node: minikube-m03, Timestamp: 1718470297.0281157
2024-06-15 16:51:41.254 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6cb6bfdbf7-l2w6c, Namespace: default, Node: minikube-m03, Timestamp: 1718470301.2549045
2024-06-15 16:51:51.712 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-59f75879df-rbq4z, Namespace: default, Node: minikube-m02, Timestamp: 1718470311.7122576
2024-06-15 16:51:58.098 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-59f75879df-rbq4z, Namespace: default, Node: minikube-m02, Timestamp: 1718470318.0984287
2024-06-15 16:51:58.845 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-59f75879df-rbq4z, Namespace: default, Node: minikube-m02, Timestamp: 1718470318.8450902
2024-06-15 16:51:58.855 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-59f75879df-rbq4z, Namespace: default, Node: minikube-m02, Timestamp: 1718470318.8555567
2024-06-15 16:52:05.499 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6cb6bfdbf7-l2w6c, Namespace: default, Node: minikube-m03, Timestamp: 1718470325.4993708
2024-06-15 16:52:11.496 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6cb6bfdbf7-l2w6c, Namespace: default, Node: minikube-m03, Timestamp: 1718470331.4969075
2024-06-15 16:52:12.131 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6cb6bfdbf7-l2w6c, Namespace: default, Node: minikube-m03, Timestamp: 1718470332.13178
2024-06-15 16:52:12.142 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-6cb6bfdbf7-l2w6c, Namespace: default, Node: minikube-m03, Timestamp: 1718470332.1421478
2024-06-15 16:52:54.346 Event: Pod Created, Pod: hello-5-instances-00001-deployment-6b6f79886d-7snfs, Namespace: default, Node: None, Timestamp: 1718470374.3462124
2024-06-15 16:52:54.467 Event: Pod Created, Pod: hello-5-instances-00001-deployment-6b6f79886d-qsgm5, Namespace: default, Node: None, Timestamp: 1718470374.4678047
2024-06-15 16:52:54.479 Event: Pod Created, Pod: hello-5-instances-00001-deployment-6b6f79886d-2tqt8, Namespace: default, Node: None, Timestamp: 1718470374.4795423
2024-06-15 16:52:54.481 Event: Pod Created, Pod: hello-5-instances-00001-deployment-6b6f79886d-tfq4v, Namespace: default, Node: None, Timestamp: 1718470374.481781
2024-06-15 16:52:54.490 Event: Pod Created, Pod: hello-5-instances-00001-deployment-6b6f79886d-9snv7, Namespace: default, Node: None, Timestamp: 1718470374.4908147
2024-06-15 16:52:55.365 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6b6f79886d-7snfs, Namespace: default, Node: minikube-m04, Timestamp: 1718470375.3656914
2024-06-15 16:52:55.378 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6b6f79886d-7snfs, Namespace: default, Node: minikube-m04, Timestamp: 1718470375.3789582
2024-06-15 16:52:56.380 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6b6f79886d-qsgm5, Namespace: default, Node: minikube-m02, Timestamp: 1718470376.3808875
2024-06-15 16:52:56.393 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6b6f79886d-qsgm5, Namespace: default, Node: minikube-m02, Timestamp: 1718470376.3931282
2024-06-15 16:52:57.103 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6b6f79886d-7snfs, Namespace: default, Node: minikube-m04, Timestamp: 1718470377.1035652
2024-06-15 16:52:57.120 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6b6f79886d-7snfs, Namespace: default, Node: minikube-m04, Timestamp: 1718470377.1206663
2024-06-15 16:52:57.395 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6b6f79886d-2tqt8, Namespace: default, Node: minikube-m03, Timestamp: 1718470377.395491
2024-06-15 16:52:57.407 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6b6f79886d-2tqt8, Namespace: default, Node: minikube-m03, Timestamp: 1718470377.407045
2024-06-15 16:52:58.089 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6b6f79886d-qsgm5, Namespace: default, Node: minikube-m02, Timestamp: 1718470378.0899417
2024-06-15 16:52:58.111 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6b6f79886d-qsgm5, Namespace: default, Node: minikube-m02, Timestamp: 1718470378.111412
2024-06-15 16:52:58.279 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6b6f79886d-2tqt8, Namespace: default, Node: minikube-m03, Timestamp: 1718470378.2798653
2024-06-15 16:52:58.292 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6b6f79886d-2tqt8, Namespace: default, Node: minikube-m03, Timestamp: 1718470378.2928536
2024-06-15 16:52:58.409 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6b6f79886d-tfq4v, Namespace: default, Node: minikube-m04, Timestamp: 1718470378.4095857
2024-06-15 16:52:58.422 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6b6f79886d-tfq4v, Namespace: default, Node: minikube-m04, Timestamp: 1718470378.4225783
2024-06-15 16:52:59.426 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6b6f79886d-9snv7, Namespace: default, Node: minikube-m02, Timestamp: 1718470379.4266014
2024-06-15 16:52:59.437 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6b6f79886d-9snv7, Namespace: default, Node: minikube-m02, Timestamp: 1718470379.437684
