2024-06-16 21:05:19.317 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-57c9b9c55c-gpgt4, Namespace: default, Node: minikube-m02, Timestamp: 1718571919.3177195
2024-06-16 21:05:19.340 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-57c9b9c55c-gpgt4, Namespace: default, Node: minikube-m02, Timestamp: 1718571919.340739
2024-06-16 21:05:20.998 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-57c9b9c55c-gpgt4, Namespace: default, Node: minikube-m02, Timestamp: 1718571920.9982412
2024-06-16 21:05:21.013 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-57c9b9c55c-gpgt4, Namespace: default, Node: minikube-m02, Timestamp: 1718571921.0133345
2024-06-16 21:05:24.021 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-57c9b9c55c-gpgt4, Namespace: default, Node: minikube-m02, Timestamp: 1718571924.0210733
2024-06-16 21:05:49.640 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-57c9b9c55c-gpgt4, Namespace: default, Node: minikube-m02, Timestamp: 1718571949.640603
2024-06-16 21:05:54.274 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-57c9b9c55c-gpgt4, Namespace: default, Node: minikube-m02, Timestamp: 1718571954.2741528
2024-06-16 21:05:55.238 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-57c9b9c55c-gpgt4, Namespace: default, Node: minikube-m02, Timestamp: 1718571955.2382119
2024-06-16 21:06:24.108 Event: Pod Created, Pod: hello-1-instances-00001-deployment-76479f44bb-s6t2w, Namespace: default, Node: None, Timestamp: 1718571984.1085916
2024-06-16 21:06:24.119 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-76479f44bb-s6t2w, Namespace: default, Node: minikube-m02, Timestamp: 1718571984.119745
2024-06-16 21:06:24.142 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-76479f44bb-s6t2w, Namespace: default, Node: minikube-m02, Timestamp: 1718571984.1429365
2024-06-16 21:06:25.418 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-76479f44bb-s6t2w, Namespace: default, Node: minikube-m02, Timestamp: 1718571985.417984
2024-06-16 21:06:25.433 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-76479f44bb-s6t2w, Namespace: default, Node: minikube-m02, Timestamp: 1718571985.433806
2024-06-16 21:06:30.541 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-76479f44bb-s6t2w, Namespace: default, Node: minikube-m02, Timestamp: 1718571990.5419185
2024-06-16 21:06:54.443 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-76479f44bb-s6t2w, Namespace: default, Node: minikube-m02, Timestamp: 1718572014.443195
2024-06-16 21:07:00.761 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-76479f44bb-s6t2w, Namespace: default, Node: minikube-m02, Timestamp: 1718572020.7613976
2024-06-16 21:07:01.687 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-76479f44bb-s6t2w, Namespace: default, Node: minikube-m02, Timestamp: 1718572021.687774
2024-06-16 21:07:01.698 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-76479f44bb-s6t2w, Namespace: default, Node: minikube-m02, Timestamp: 1718572021.6985147
2024-06-16 21:07:06.723 Event: Pod Created, Pod: hello-5-instances-00001-deployment-6d6978f45-45w45, Namespace: default, Node: None, Timestamp: 1718572026.7229884
2024-06-16 21:07:06.734 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-45w45, Namespace: default, Node: minikube-m02, Timestamp: 1718572026.734376
2024-06-16 21:07:06.758 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-45w45, Namespace: default, Node: minikube-m02, Timestamp: 1718572026.7581673
2024-06-16 21:07:06.842 Event: Pod Created, Pod: hello-5-instances-00001-deployment-6d6978f45-5b86m, Namespace: default, Node: None, Timestamp: 1718572026.842224
2024-06-16 21:07:06.859 Event: Pod Created, Pod: hello-5-instances-00001-deployment-6d6978f45-742n9, Namespace: default, Node: None, Timestamp: 1718572026.8595636
2024-06-16 21:07:06.861 Event: Pod Created, Pod: hello-5-instances-00001-deployment-6d6978f45-smclz, Namespace: default, Node: None, Timestamp: 1718572026.8618562
2024-06-16 21:07:06.864 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-5b86m, Namespace: default, Node: minikube-m02, Timestamp: 1718572026.8640041
2024-06-16 21:07:06.873 Event: Pod Created, Pod: hello-5-instances-00001-deployment-6d6978f45-jrddr, Namespace: default, Node: None, Timestamp: 1718572026.8736997
2024-06-16 21:07:06.876 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-742n9, Namespace: default, Node: minikube-m02, Timestamp: 1718572026.8765094
2024-06-16 21:07:06.891 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-6d6978f45-5b86m, Namespace: default, Node: minikube-m02, Timestamp: 1718572026.891367
