2024-06-16 23:39:42.178 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7b4dfbd6cd-78kw5, Namespace: default, Node: minikube-m02, Timestamp: 1718581182.178456
2024-06-16 23:39:42.189 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7b4dfbd6cd-78kw5, Namespace: default, Node: minikube-m02, Timestamp: 1718581182.189173
2024-06-16 23:39:51.026 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7b4dfbd6cd-78kw5, Namespace: default, Node: minikube-m02, Timestamp: 1718581191.0269525
2024-06-16 23:40:11.639 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7b4dfbd6cd-78kw5, Namespace: default, Node: minikube-m02, Timestamp: 1718581211.6398187
2024-06-16 23:40:21.250 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7b4dfbd6cd-78kw5, Namespace: default, Node: minikube-m02, Timestamp: 1718581221.2500463
2024-06-16 23:40:21.313 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7b4dfbd6cd-78kw5, Namespace: default, Node: minikube-m02, Timestamp: 1718581221.3136988
2024-06-16 23:40:21.620 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-7b4dfbd6cd-78kw5, Namespace: default, Node: minikube-m02, Timestamp: 1718581221.620613
2024-06-16 23:40:31.985 Event: Pod Created, Pod: hello-5-instances-00001-deployment-9c96c7cff-nlh22, Namespace: default, Node: None, Timestamp: 1718581231.9857125
2024-06-16 23:40:32.005 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-9c96c7cff-nlh22, Namespace: default, Node: minikube-m02, Timestamp: 1718581232.0056274
2024-06-16 23:40:32.029 Event: Pod Scheduled, Pod: hello-5-instances-00001-deployment-9c96c7cff-nlh22, Namespace: default, Node: minikube-m02, Timestamp: 1718581232.0295098
2024-06-16 23:40:32.119 Event: Pod Created, Pod: hello-5-instances-00001-deployment-9c96c7cff-p645t, Namespace: default, Node: None, Timestamp: 1718581232.119945
2024-06-16 23:40:32.126 Event: Pod Created, Pod: hello-5-instances-00001-deployment-9c96c7cff-f4hn6, Namespace: default, Node: None, Timestamp: 1718581232.1267102
