2024-06-15 18:23:59.723 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-5f4cdb87b5-xz97l, Namespace: default, Node: minikube-m02, Timestamp: 1718475839.7233574
2024-06-15 18:24:04.909 Event: Pod Created, Pod: hello-1-instances-00001-deployment-564fc875cd-dmpqg, Namespace: default, Node: None, Timestamp: 1718475844.909849
2024-06-15 18:24:09.932 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-564fc875cd-dmpqg, Namespace: default, Node: minikube-m03, Timestamp: 1718475849.932697
2024-06-15 18:24:09.950 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-564fc875cd-dmpqg, Namespace: default, Node: minikube-m03, Timestamp: 1718475849.950094
2024-06-15 18:24:11.525 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-564fc875cd-dmpqg, Namespace: default, Node: minikube-m03, Timestamp: 1718475851.5252461
2024-06-15 18:24:11.545 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-564fc875cd-dmpqg, Namespace: default, Node: minikube-m03, Timestamp: 1718475851.5459044
2024-06-15 18:24:14.758 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-564fc875cd-dmpqg, Namespace: default, Node: minikube-m03, Timestamp: 1718475854.7579908
2024-06-15 18:24:40.250 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-564fc875cd-dmpqg, Namespace: default, Node: minikube-m03, Timestamp: 1718475880.2507865
2024-06-15 18:24:44.979 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-564fc875cd-dmpqg, Namespace: default, Node: minikube-m03, Timestamp: 1718475884.9793186
2024-06-15 18:24:45.650 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-564fc875cd-dmpqg, Namespace: default, Node: minikube-m03, Timestamp: 1718475885.6502569
2024-06-15 18:24:45.658 Event: Pod Scheduled, Pod: hello-1-instances-00001-deployment-564fc875cd-dmpqg, Namespace: default, Node: minikube-m03, Timestamp: 1718475885.6586082
2024-06-15 18:24:50.993 Event: Pod Created, Pod: hello-5-instances-00001-deployment-58694bb45b-mq9bm, Namespace: default, Node: None, Timestamp: 1718475890.9935167
2024-06-15 18:24:51.127 Event: Pod Created, Pod: hello-5-instances-00001-deployment-58694bb45b-br646, Namespace: default, Node: None, Timestamp: 1718475891.1274087
2024-06-15 18:24:51.141 Event: Pod Created, Pod: hello-5-instances-00001-deployment-58694bb45b-6vkwq, Namespace: default, Node: None, Timestamp: 1718475891.141671
